# SignalP-5.0	Organism: euk	Timestamp: 20230422020143
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
TRINITY_DN1034_c0_g1_i1	OTHER	0.213805	0.786195	
TRINITY_DN1013_c0_g1_i1	OTHER	0.072387	0.927613	
TRINITY_DN561_c0_g1_i1	OTHER	0.022858	0.977142	
TRINITY_DN509_c0_g1_i1	OTHER	0.071436	0.928564	
TRINITY_DN593_c0_g1_i1	OTHER	0.116453	0.883547	
TRINITY_DN536_c0_g1_i1	OTHER	0.143870	0.856130	
TRINITY_DN552_c0_g1_i1	OTHER	0.166535	0.833465	
TRINITY_DN549_c0_g1_i1	OTHER	0.021547	0.978453	
TRINITY_DN562_c0_g1_i1	OTHER	0.017836	0.982164	
TRINITY_DN1707_c0_g1_i1	OTHER	0.322816	0.677184	
TRINITY_DN1796_c0_g1_i1	OTHER	0.124139	0.875861	
TRINITY_DN1704_c0_g1_i1	OTHER	0.168052	0.831948	
TRINITY_DN1767_c0_g1_i1	OTHER	0.054196	0.945804	
TRINITY_DN1772_c0_g1_i1	OTHER	0.030945	0.969055	
TRINITY_DN1802_c0_g1_i1	OTHER	0.118199	0.881801	
TRINITY_DN1851_c0_g1_i1	OTHER	0.164520	0.835480	
TRINITY_DN1815_c0_g1_i1	OTHER	0.100083	0.899917	
TRINITY_DN1852_c0_g1_i1	OTHER	0.198155	0.801845	
TRINITY_DN2504_c0_g2_i1	OTHER	0.049676	0.950324	
TRINITY_DN2550_c0_g1_i1	OTHER	0.113048	0.886952	
TRINITY_DN2603_c0_g1_i1	OTHER	0.142874	0.857126	
TRINITY_DN2232_c0_g1_i1	OTHER	0.273485	0.726515	
TRINITY_DN2210_c0_g1_i1	OTHER	0.271860	0.728140	
TRINITY_DN2283_c0_g1_i1	OTHER	0.074133	0.925867	
TRINITY_DN1429_c0_g1_i1	OTHER	0.298398	0.701602	
TRINITY_DN1443_c0_g1_i1	OTHER	0.135764	0.864236	
TRINITY_DN1430_c0_g1_i1	OTHER	0.107593	0.892407	
TRINITY_DN1420_c0_g1_i1	OTHER	0.065077	0.934923	
TRINITY_DN1476_c0_g1_i1	OTHER	0.030011	0.969989	
TRINITY_DN1477_c0_g1_i1	OTHER	0.206294	0.793706	
TRINITY_DN1412_c0_g1_i1	OTHER	0.254527	0.745473	
TRINITY_DN1453_c0_g1_i1	OTHER	0.020251	0.979749	
TRINITY_DN31_c0_g1_i1	OTHER	0.119111	0.880889	
TRINITY_DN29_c0_g1_i1	OTHER	0.104521	0.895479	
TRINITY_DN7_c0_g1_i1	OTHER	0.032491	0.967509	
TRINITY_DN0_c0_g1_i1	OTHER	0.079069	0.920931	
TRINITY_DN96_c0_g1_i1	OTHER	0.168509	0.831491	
TRINITY_DN25_c0_g1_i1	OTHER	0.187744	0.812256	
TRINITY_DN94_c0_g1_i1	OTHER	0.155961	0.844039	
TRINITY_DN5_c0_g1_i1	OTHER	0.276662	0.723338	
TRINITY_DN1_c0_g1_i1	OTHER	0.035818	0.964182	
TRINITY_DN6_c0_g1_i1	OTHER	0.115575	0.884425	
TRINITY_DN790_c0_g1_i1	OTHER	0.052287	0.947713	
TRINITY_DN763_c0_g1_i1	OTHER	0.305634	0.694366	
TRINITY_DN723_c0_g1_i1	OTHER	0.302691	0.697309	
TRINITY_DN700_c0_g1_i1	OTHER	0.070450	0.929550	
TRINITY_DN701_c0_g1_i1	OTHER	0.059105	0.940895	
TRINITY_DN742_c0_g1_i1	OTHER	0.319583	0.680417	
TRINITY_DN716_c0_g1_i1	OTHER	0.265470	0.734530	
TRINITY_DN717_c0_g1_i1	OTHER	0.043452	0.956548	
TRINITY_DN783_c0_g1_i1	OTHER	0.063729	0.936271	
TRINITY_DN2067_c0_g1_i1	OTHER	0.180917	0.819083	
TRINITY_DN2063_c0_g1_i1	OTHER	0.115921	0.884079	
TRINITY_DN2055_c0_g1_i1	OTHER	0.205447	0.794553	
TRINITY_DN2058_c0_g1_i1	SP(Sec/SPI)	0.552062	0.447938	CS pos: 20-21. ACA-AG. Pr: 0.0895
TRINITY_DN2077_c0_g1_i1	OTHER	0.055341	0.944659	
TRINITY_DN2056_c0_g1_i1	OTHER	0.074361	0.925639	
TRINITY_DN2431_c0_g1_i1	OTHER	0.080008	0.919992	
TRINITY_DN2445_c0_g1_i1	OTHER	0.122040	0.877960	
TRINITY_DN2411_c0_g1_i1	OTHER	0.037348	0.962652	
TRINITY_DN329_c0_g1_i1	OTHER	0.048761	0.951239	
TRINITY_DN310_c0_g1_i1	OTHER	0.084924	0.915076	
TRINITY_DN324_c0_g1_i1	OTHER	0.034795	0.965205	
TRINITY_DN326_c0_g1_i1	OTHER	0.097010	0.902990	
TRINITY_DN392_c0_g1_i1	OTHER	0.213777	0.786223	
TRINITY_DN353_c0_g1_i1	OTHER	0.107641	0.892359	
TRINITY_DN391_c0_g1_i1	OTHER	0.064885	0.935115	
TRINITY_DN341_c0_g1_i1	OTHER	0.229588	0.770412	
TRINITY_DN335_c0_g1_i1	OTHER	0.064855	0.935145	
TRINITY_DN332_c0_g1_i1	OTHER	0.301611	0.698389	
TRINITY_DN661_c0_g1_i1	OTHER	0.474753	0.525247	
TRINITY_DN635_c0_g1_i1	OTHER	0.072035	0.927965	
TRINITY_DN134_c0_g1_i1	OTHER	0.033411	0.966589	
TRINITY_DN112_c0_g1_i1	OTHER	0.071925	0.928075	
TRINITY_DN194_c0_g1_i1	OTHER	0.071459	0.928541	
TRINITY_DN108_c0_g1_i1	OTHER	0.236011	0.763989	
TRINITY_DN102_c0_g1_i1	OTHER	0.108053	0.891947	
TRINITY_DN183_c0_g1_i1	OTHER	0.263190	0.736810	
